id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.050049,2306524461,35,4943855035,6696135.0,0.0499721,0.04844422,0.00113073,2.31148,52013793.0,2.3071,46089685199.7393,98789640460.01488,100000000000.0,0.792896,-93.69791,2021-11-24T00:00:00.000Z,0.01068892,367.484,2019-02-08T00:00:00.000Z,,2026-07-16T14:11:52.891Z
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,https://coin-images.coingecko.com/coins/images/36291/large/blackrock.png?1711013223,0.873062,2278163239,36,2278163239,,0.874739,0.871126,-0.001676999999999929,-0.19171,-244701780.99834204,-9.69936,2609394566.680449,2609394566.680449,,0.968726,-9.87059,2025-02-12T13:45:04.804Z,0.829443,5.26426,2026-01-27T21:00:01.848Z,,2026-07-16T14:10:05.053Z
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,3.64e-06,2146405162,37,2147340196,44128286.0,3.76e-06,3.61e-06,-1.13625711064e-07,-3.02496,-67467326.90824604,-3.04748,589242929670995.8,589499620167403.4,,7.424e-05,-95.09357,2021-10-28T03:54:55.568Z,4.6962e-11,7756485.63978,2020-12-11T05:57:22.476Z,,2026-07-16T14:11:55.628Z
tether-gold,xaut,Tether Gold,https://coin-images.coingecko.com/coins/images/10481/large/logo.png?1774627372,3487.34,2137230556,38,2468277262,160648812.0,3548.15,3477.9,-60.804980933303796,-1.71371,-37143011.18843746,-1.70822,612823.659532,707747.089,,4599.52,-24.19363,2026-01-29T00:00:00.000Z,1306.55,166.86462,2020-03-12T23:32:32.137Z,,2026-07-16T14:11:55.127Z
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,3.24,2026493702,39,2891877068,160496672.0,3.26,3.14,0.04270525,1.33566,24050621.0,1.20106,625557561.5538775,892692420.0329479,1000000000.0,37.37,-91.33259,2021-05-03T05:25:04.822Z,0.874238,270.52112,2020-09-17T01:20:38.214Z,,2026-07-16T14:11:55.926Z
ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,https://coin-images.coingecko.com/coins/images/31700/large/usdy_%281%29.png?1696530524,0.98803,1873512130,40,1873512130,1706327.0,0.997789,0.982962,-0.00516977027552068,-0.52052,-11145092.423972607,-0.59136,1896209205.740907,1896209205.740907,,1.17,-15.06213,2024-03-27T05:24:08.110Z,0.852047,16.27632,2024-01-14T11:40:50.825Z,,2026-07-16T14:12:00.275Z
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,172.23,1653066859,41,3617029080,93186296.0,176.63,170.14,-2.455474750524388,-1.40562,-24167128.0031116,-1.44089,9597491.0,21000000.0,21000000.0,699.87,-75.40504,2024-12-06T12:15:28.199Z,28.19,510.67107,2023-05-14T08:57:53.732Z,,2026-07-16T14:11:59.224Z
ondo-finance,ondo,Ondo,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,0.339211,1650875931,42,3390354960,266141467.0,0.341965,0.286659,0.04671821,15.97245,223073145.0,15.62353,4869330647.0,10000000000.0,10000000000.0,2.04,-83.33686,2024-12-16T00:36:00.777Z,0.075442,349.62856,2024-01-18T12:14:30.524Z,,2026-07-16T14:12:01.000Z
world-liberty-financial,wlfi,World Liberty Financial,https://coin-images.coingecko.com/coins/images/50767/large/wlfi.png?1756438915,0.050652,1609309943,43,5064783935,26892073.0,0.050871,0.04925508,0.00087524,1.75833,26977420.0,1.70491,31774503386.0,100000000000.0,100000000000.0,0.282894,-82.09494,2025-09-01T12:20:09.597Z,0.04402298,15.05881,2026-05-02T06:24:04.639Z,,2026-07-16T14:12:04.566Z
pax-gold,paxg,PAX Gold,https://coin-images.coingecko.com/coins/images/9519/large/paxgold.png?1696509604,3483.88,1563957187,44,1563957187,94275754.0,3546.79,3474.34,-62.90951792126634,-1.7737,-28149959.549798965,-1.76809,448888.537837,448888.537837,,4688.32,-25.71494,2026-01-29T06:30:56.612Z,1265.28,175.25185,2019-11-18T03:09:35.959Z,,2026-07-16T14:11:53.525Z
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,70.82,1487050634,45,1487050634,12108292.0,72.0,70.38,-1.1783837411818894,-1.63669,-25023758.482402086,-1.65493,21000000.0,21000000.0,21000000.0,196.95,-64.10773,2025-08-22T00:00:00.000Z,0.506608,13853.333,2019-01-14T00:00:00.000Z,,2026-07-16T14:12:04.306Z
aster-2,aster,Aster,https://coin-images.coingecko.com/coins/images/69040/large/_ASTER.png?1757326782,0.54575,1465627360,46,4265686197,61662194.0,0.554494,0.541349,-0.008744381790694922,-1.577,-23606082.724820137,-1.58512,2685531220.4697533,7816197874.516728,8000000000.0,2.05,-73.37758,2025-09-24T11:18:14.634Z,0.084231,547.91724,2025-09-17T12:05:36.771Z,,2026-07-16T14:11:50.821Z
memecore,m,MemeCore,https://coin-images.coingecko.com/coins/images/53247/large/square-bg-transparent.png?1752637478,1.073,1421722828,47,5787369516,11447270.0,1.13,1.053,-0.05402309538307959,-4.79194,-71139541.96719289,-4.76531,1324563253.706735,5391864606.326957,10000000000.0,4.12,-74.01668,2026-04-24T01:10:07.284Z,0.04031576,2557.46547,2025-07-04T03:56:17.448Z,,2026-07-16T14:12:05.631Z
htx-dao,htx,HTX DAO,https://coin-images.coingecko.com/coins/images/35491/large/Frame_1321318576.png?1708908626,1.58e-06,1415166271,48,1415166271,61146575.0,1.59e-06,1.57e-06,-1.6644802687e-08,-1.04543,-26478952.61007142,-1.83672,898232728634017.2,898232728634017.2,999990000000000.0,3.57e-06,-55.90762,2024-12-04T00:16:20.770Z,7.28204e-07,116.16648,2024-08-05T13:31:33.427Z,,2026-07-16T14:12:07.809Z
dexe,dexe,DeXe,https://coin-images.coingecko.com/coins/images/12713/large/DEXE_token_logo.png?1696512514,29.82,1393893914,49,2877353655,85331487.0,33.14,28.54,-2.368775403629712,-7.35976,-111803939.90106416,-7.42539,46750309.420346804,96504599.33609451,,42.85,-30.34021,2026-07-13T00:40:12.499Z,0.565017,5183.48408,2020-11-06T19:31:40.144Z,,2026-07-16T14:11:55.702Z
ripple-usd,rlusd,Ripple USD,https://coin-images.coingecko.com/coins/images/39651/large/RLUSD_200x200_%281%29.png?1727376633,0.873462,1319886336,50,1319886336,72456705.0,0.87513,0.871073,-0.001323354761127105,-0.15128,-6443764.195392609,-0.48583,1511120594.000362,1511120594.000362,,1.031,-15.33584,2024-12-26T10:45:52.337Z,0.829444,5.27666,2026-01-27T21:00:31.530Z,,2026-07-16T14:12:03.357Z
